location_id,original_name,latitude,longitude,province,region
2847203,โรงเรียนบ้านเวียงแก้ว,20.377994751808878,100.02748244236572,Chiang Rai,North
2847205,โรงเรียนบ้านโนนแสนคำหนองศาลาศรีสะอาด,14.543129573360519,104.71854715911172,Si Sa Ket,Northeast
2847206,โรงเรียนราชประชานุเคราะห์ 15,20.27491375532466,100.08676619657707,Chiang Rai,North
2847207,โรงเรียนบ้านหนองแวง ,15.08809077921939,102.97314965290245,Buri Ram,Northeast
2848543,โรงเรียนบ้านหนองไห ,16.2072670990296,102.6615149381862,Khon Kaen,Northeast
2848549,โรงเรียนบ้านห้วยเม็ง (ประสาทวิทย์),20.297601712763182,100.38589414207362,Chiang Rai,North
2848632,โรงเรียนบ้านปัญจคาม,14.946756737052159,102.85642746135028,Buri Ram,Northeast
2848810,International School Bangkok - Nonthaburi ,13.8929,100.5258,Nonthaburi,Central
2848950,โรงเรียนพัฒนาสามัคคี,15.810264445974283,104.71285338712057,Amnat Charoen,Northeast
2850409,โรงเรียนบ้านห้วยไม้หก,17.426687368214814,98.46186558690347,Chiang Mai,North
2850582,โรงเรียนท่านผู้หญิงวิไล อมาตยกุล,15.797497731650001,98.58490525995242,Tak,West
2854419,โรงเรียนโสตศึกษาจังหวัดชัยภูมิ,15.861044591272048,102.07364302502404,Chaiyaphum,Northeast
2856204,โรงเรียนโคกสวาสดิ์หนองสองห้องดอนแดง,15.971762558214655,104.63396983717334,Amnat Charoen,Northeast
2856334,โรงเรียนบ้านขี้เหล็กดอยดินแดง,20.192107282287857,99.92237810267108,Chiang Rai,North
2857820,โรงเรียนเตรียมทหาร รุ่นที่ 13 อนุสรณ์,16.350857980092687,104.57883941275776,Mukdahan,Northeast
2858173,โรงเรียนบ้านคอกควาย(สันติภาพคุรุราษฎร์พัฒนา),14.687464929074753,102.79859033217699,Buri Ram,Northeast
2861423,โรงเรียนพยัคฆภูมิวิทยาคาร,15.512772846428138,103.1924975423704,Maha Sarakham,Northeast
2877979,โรงเรียนบ้านโปร่งสำราญ,18.172779557982327,103.17525478935896,Nong Khai,Northeast
2894142,โรงเรียนราชประชานุเคราะห์ 50,16.25802367972713,102.77506342533592,Khon Kaen,Northeast
2894237,โรงเรียนบ้านโนนคูณ,14.920165439073962,104.71185584158256,Si Sa Ket,Northeast
2894459,โรงเรียนลพบุรีปัญญานุกูล,14.783014131133461,100.64741702329812,Lop Buri,Central
2904490,โรงเรียนบ้านแม่ลิด ,18.188941450430637,98.13689957660866,Mae Hong Son,North
2908059,"Prem International School, The Pool",18.962544060773414,98.91557422011076,Chiang Mai,North
2909413,Soi Bumrungsin ,13.4054598,100.9875579,Chon Buri,East
2912858,โรงเรียนวัดเกาะ,12.740953304194278,101.28107571423837,Rayong,East
2920397,โรงเรียนบ้านช่อผกา ,14.829779036752795,102.83396922482842,Buri Ram,Northeast
2926254,โรงเรียนบ้านวังลุง,18.177309310650944,98.61097589156435,Chiang Mai,North
2926351,โรงเรียนวัดเทพนิมิตร,7.860514922370785,98.36903463319537,Phuket,South
2927633,โรงเรียนราชประชานุเคราะห์ 35,8.776161659005904,98.26620212523758,Phangnga,South
2927999,โรงเรียนราชประชานุเคราะห์ 46,15.184977141061985,100.12478444536801,Chai Nat,Central
2933397,โรงเรียนบ้านหนองยาง,17.970503944113364,103.28741677000276,Nong Khai,Northeast
2933523,โรงเรียนบ้านหัวเวียง (โกศัลย์วิทย์),20.272634337603776,100.40377154901601,Chiang Rai,North
2938625,โรงเรียนบ้านดอนแดงเจริญทอง,17.2537152291695,104.69491626895613,Nakhon Phanom,Northeast
2953982,โรงเรียนบ้านเสียว,15.257387898044886,104.03668778711167,Si Sa Ket,Northeast
3002975,พระอาทิตย์ขึ้น สันโป่ง,18.927,98.962,Chiang Mai,North
3008643,Chumchon Banpadang School,6.66638438023621,100.32726914385205,Songkhla,South
3019320,Rangsit - Nakhon Nayok 25,13.990582062342105,100.63521933513957,Pathum Thani,Central
3047300,"Sports Stadium, Chumphon Province",10.495142389105824,99.18935409512319,Chumphon,South
3047340,"Maerim, Chiangmai",18.932580910609936,98.94895059814411,Chiang Mai,North
3090636,Uno Solutions,13.8498819,100.638635,Bangkok,Central
3097120,Circle Living Prototype,13.750578,100.556228,Bangkok,Central
3098869,NIST International School,13.747719895912152,100.56011829186963,Bangkok,Central
3133267,NASA GSFC Rutgers Calib. N17,13.8192,100.041,Nakhon Pathom,Central
3203249,Supalai Lake Ville Phuket,7.968184,98.378202,Phuket,South
